Endpoint Number,Endpoint Name,Input,Validator,Analyzer,AI,Testing,Recommendations
1,"POST /auth/bank-token","POST /auth/bank-token","","","","",""
2,"GET /accounts","GET /accounts","","No BOLA issues detected","","",""
3,"POST /accounts","POST /accounts","","No BOLA issues detected","","",""
4,"GET /accounts/{account_id}","GET /accounts/{account_id}","","No BOLA issues detected","","",""
5,"GET /accounts/{account_id}/balances","GET /accounts/{account_id}/balances","","No BOLA issues detected","","",""
6,"GET /accounts/{account_id}/transactions","GET /accounts/{account_id}/transactions","","No BOLA issues detected","","",""
7,"PUT /accounts/{account_id}/status","PUT /accounts/{account_id}/status","","No BOLA issues detected","","",""
8,"PUT /accounts/{account_id}/close","PUT /accounts/{account_id}/close","","No BOLA issues detected","","",""
9,"POST /account-consents/request","POST /account-consents/request","","No BOLA issues detected","","",""
10,"GET /account-consents/{consent_id}","GET /account-consents/{consent_id}","","BOLA vulnerability suspected","","",""
11,"DELETE /account-consents/{consent_id}","DELETE /account-consents/{consent_id}","","BOLA vulnerability suspected","","",""
12,"POST /payment-consents/request","POST /payment-consents/request","","BOLA vulnerability suspected","","",""
13,"GET /payment-consents/{consent_id}","GET /payment-consents/{consent_id}","","No BOLA issues detected","","",""
14,"DELETE /payment-consents/{consent_id}","DELETE /payment-consents/{consent_id}","","No BOLA issues detected","","",""
15,"POST /payments","POST /payments","","No BOLA issues detected","","",""
16,"GET /payments/{payment_id}","GET /payments/{payment_id}","","No BOLA issues detected","","",""
17,"GET /products","GET /products","","No BOLA issues detected","","",""
18,"GET /products/{product_id}","GET /products/{product_id}","","BOLA vulnerability suspected","","",""
19,"GET /product-agreements","GET /product-agreements","","No BOLA issues detected","","",""
20,"POST /product-agreements","POST /product-agreements","","No BOLA issues detected","","",""
21,"GET /product-agreements/{agreement_id}","GET /product-agreements/{agreement_id}","","No BOLA issues detected","","",""
22,"DELETE /product-agreements/{agreement_id}","DELETE /product-agreements/{agreement_id}","","No BOLA issues detected","","",""
23,"POST /product-agreement-consents/request","POST /product-agreement-consents/request","","No BOLA issues detected","","",""
24,"GET /product-agreement-consents/{consent_id}","GET /product-agreement-consents/{consent_id}","","No BOLA issues detected","","",""
25,"DELETE /product-agreement-consents/{consent_id}","DELETE /product-agreement-consents/{consent_id}","","No BOLA issues detected","","",""
26,"GET /.well-known/jwks.json","GET /.well-known/jwks.json","","","","",""
27,"GET /","GET /","","No BOLA issues detected","","",""
28,"GET /health","GET /health","","No BOLA issues detected","","",""
